batch_material_id,batch_id,raw_material_id,quantity_used,unit_cost,line_cost
1,1,287,18.65,241.46,4503.23
2,1,166,62.63,241.08,15098.84
3,1,196,55.0,112.94,6211.7
4,1,155,7.0,167.9,1175.3
5,2,123,270.0,157.51,42527.7
6,2,12,853.75,206.18,176026.18
7,2,282,476.96,283.59,135261.09
8,2,28,156.88,438.55,68799.72
9,2,226,386.14,132.02,50978.2
10,3,133,881.0,42.65,37574.65
11,3,89,874.0,280.28,244964.72
12,3,299,177.15,370.1,65563.22
13,4,80,106.0,235.51,24964.06
14,4,156,342.01,209.75,71736.6
15,4,297,509.0,394.91,201009.19
16,5,265,128.72,395.11,50858.56
17,5,221,94.88,193.17,18327.97
18,5,69,50.2,60.73,3048.65
19,5,289,96.0,355.5,34128.0
20,6,153,809.11,219.58,177664.37
21,6,184,762.0,195.95,149313.9
22,6,103,467.37,281.07,131363.69
23,6,19,738.83,400.95,296233.89
24,6,167,1049.0,111.38,116837.62
25,6,136,299.68,95.23,28538.53
26,7,264,308.98,163.4,50487.33
27,7,194,661.44,48.5,32079.84
28,7,232,173.76,153.46,26665.21
29,7,274,42.0,106.8,4485.6
30,7,256,558.75,65.48,36586.95
31,7,276,865.45,174.6,151107.57
32,8,153,120.88,219.58,26542.83
33,8,184,181.0,195.95,35466.95
34,8,103,53.0,281.07,14896.71
35,8,19,188.02,400.95,75386.62
36,8,167,47.0,111.38,5234.86
37,8,136,194.63,95.23,18534.61
38,9,264,12.57,163.4,2053.94
39,9,194,60.15,48.5,2917.28
40,9,232,47.33,153.46,7263.26
41,9,274,28.0,106.8,2990.4
42,9,256,37.25,65.48,2439.13
43,9,276,65.4,174.6,11418.84
44,10,221,70.18,193.17,13556.67
45,10,118,161.0,60.24,9698.64
46,10,95,64.32,266.69,17153.5
47,11,257,133.17,358.48,47738.78
48,11,208,197.0,436.35,85960.95
49,11,288,756.37,402.57,304491.87
50,11,103,84.88,281.07,23857.22
51,11,238,289.0,116.82,33760.98
52,12,10,1008.74,284.34,286825.13
53,12,143,623.32,39.55,24652.31
54,12,165,556.64,202.99,112992.35
55,13,228,166.0,72.0,11952.0
56,13,45,235.39,14.79,3481.42
57,13,73,277.27,303.25,84082.13
58,13,264,312.71,163.4,51096.81
59,13,35,167.0,75.69,12640.23
60,14,184,291.0,195.95,57021.45
61,14,295,41.99,257.74,10822.5
62,14,173,223.68,149.39,33415.56
63,15,153,675.92,219.58,148418.51
64,15,184,586.0,195.95,114826.7
65,15,103,198.6,281.07,55820.5
66,15,19,759.63,400.95,304573.65
67,15,167,400.0,111.38,44552.0
68,15,136,734.53,95.23,69949.29
69,16,71,637.32,273.96,174600.19
70,16,298,615.67,155.91,95989.11
71,16,161,40.0,403.16,16126.4
72,17,167,19.0,111.38,2116.22
73,17,171,67.22,146.97,9879.32
74,17,87,59.58,15.87,945.53
75,17,42,46.82,419.93,19661.12
76,17,53,11.92,379.43,4522.81
77,18,255,1053.0,379.3,399402.9
78,18,39,101.7,327.4,33296.58
79,18,24,950.0,210.27,199756.5
80,18,235,756.24,445.51,336912.48
81,18,89,407.0,280.28,114073.96
82,19,287,120.51,241.46,29098.34
83,19,166,18.16,241.08,4378.01
84,19,196,205.0,112.94,23152.7
85,19,155,164.0,167.9,27535.6
86,20,287,233.55,241.46,56392.98
87,20,166,195.82,241.08,47208.29
88,20,196,201.0,112.94,22700.94
89,20,155,422.0,167.9,70853.8
90,21,48,159.71,444.31,70960.75
91,21,94,76.91,159.71,12283.3
92,21,143,159.12,39.55,6293.2
93,21,207,61.0,180.84,11031.24
94,21,267,131.0,368.02,48210.62
95,22,257,474.55,358.48,170116.68
96,22,208,301.0,436.35,131341.35
97,22,288,172.91,402.57,69608.38
98,22,103,304.52,281.07,85591.44
99,22,238,594.0,116.82,69391.08
100,23,299,107.12,370.1,39645.11
101,23,198,224.74,86.4,19417.54
102,23,284,361.21,65.25,23568.95
103,23,270,75.99,209.82,15944.22
104,24,81,141.76,383.93,54425.92
105,24,125,379.98,214.86,81642.5
106,24,144,366.3,393.49,144135.39
107,24,34,174.66,309.07,53982.17
108,24,211,28.92,118.28,3420.66
109,25,71,145.33,273.96,39814.61
110,25,298,830.55,155.91,129491.05
111,25,161,351.0,403.16,141509.16
112,26,71,148.97,273.96,40811.82
113,26,298,50.11,155.91,7812.65
114,26,161,343.0,403.16,138283.88
115,27,264,165.58,163.4,27055.77
116,27,194,165.22,48.5,8013.17
117,27,232,120.16,153.46,18439.75
118,27,274,47.0,106.8,5019.6
119,27,256,124.84,65.48,8174.52
120,27,276,112.9,174.6,19712.34
121,28,81,669.56,383.93,257064.17
122,28,109,789.61,118.44,93521.41
123,28,136,617.48,95.23,58802.62
124,28,168,828.26,123.35,102165.87
125,28,201,70.0,403.85,28269.5
126,28,34,58.95,309.07,18219.68
127,29,50,213.59,268.58,57366.0
128,29,140,574.11,20.57,11809.44
129,29,29,474.61,443.84,210650.9
130,29,287,790.35,241.46,190837.91
131,29,211,800.92,118.28,94732.82
132,29,209,700.0,389.88,272916.0
133,30,130,534.56,78.51,41968.31
134,30,137,317.36,165.83,52627.81
135,30,288,725.02,402.57,291871.3
136,30,67,225.65,113.56,25624.81
137,31,48,265.92,444.31,118150.92
138,31,94,36.87,159.71,5888.51
139,31,143,181.75,39.55,7188.21
140,31,207,365.0,180.84,66006.6
141,31,267,318.0,368.02,117030.36
142,32,189,398.13,258.14,102773.28
143,32,64,228.0,346.74,79056.72
144,32,147,281.0,126.76,35619.56
145,32,233,480.0,63.08,30278.4
146,32,87,253.43,15.87,4021.93
147,33,48,135.57,444.31,60235.11
148,33,94,334.92,159.71,53490.07
149,33,143,612.77,39.55,24235.05
150,33,207,232.0,180.84,41954.88
151,33,267,483.0,368.02,177753.66
152,34,284,44.19,65.25,2883.4
153,34,292,656.9,114.07,74932.58
154,34,89,92.0,280.28,25785.76
155,34,242,141.0,213.79,30144.39
156,34,12,489.46,206.18,100916.86
157,34,271,512.0,137.72,70512.64
158,35,148,149.0,363.37,54142.13
159,35,139,182.18,311.61,56769.11
160,35,33,319.11,366.77,117039.97
161,35,297,433.0,394.91,170996.03
162,35,229,175.0,218.07,38162.25
163,35,227,290.83,262.81,76433.03
164,36,189,94.14,258.14,24301.3
165,36,250,52.0,422.44,21966.88
166,36,129,241.0,21.27,5126.07
167,36,261,27.0,367.11,9911.97
168,37,227,90.82,262.81,23868.4
169,37,265,262.66,395.11,103779.59
170,37,133,296.0,42.65,12624.4
171,37,140,121.26,20.57,2494.32
