purchase_order_item_id,purchase_order_id,raw_material_id,quantity,unit_cost,line_total
1,1,136,934.83,95.23,89023.86
2,1,152,1779.93,168.6,300096.2
3,1,297,1986.0,394.91,784291.26
4,2,90,1742.81,317.72,553725.59
5,2,42,1330.63,419.93,558771.46
6,2,7,4024.05,250.57,1008306.21
7,2,169,1861.38,171.65,319505.88
8,3,51,4412.0,173.26,764423.12
9,3,14,2921.0,264.19,771698.99
10,3,251,1856.0,84.01,155922.56
11,3,15,1916.72,405.82,777843.31
12,4,264,2785.08,163.4,455082.07
13,5,215,3938.0,251.87,991864.06
14,5,53,3030.63,379.43,1149911.94
15,6,216,4790.76,258.51,1238459.37
16,6,39,2758.42,327.4,903106.71
17,7,242,4207.0,213.79,899414.53
18,7,127,3468.99,80.03,277623.27
19,8,188,2637.0,291.73,769292.01
20,8,22,1329.75,126.99,168864.95
21,8,162,4925.0,231.72,1141221.0
22,8,133,4282.0,42.65,182627.3
23,9,238,791.0,116.82,92404.62
24,9,46,3826.09,171.28,655332.7
25,9,240,1987.0,342.82,681183.34
26,9,21,2893.0,280.2,810618.6
27,10,95,682.54,266.69,182026.59
28,10,111,2491.4,441.07,1098881.8
29,10,97,3945.0,198.55,783279.75
30,10,89,586.0,280.28,164244.08
31,11,212,1518.2,79.39,120529.9
32,11,195,3905.44,71.33,278575.04
33,11,265,2089.42,395.11,825550.74
34,12,82,4365.5,249.7,1090065.35
35,13,45,2458.87,14.79,36366.69
36,13,69,3497.11,60.73,212379.49
37,13,207,3146.0,180.84,568922.64
38,14,127,3390.51,80.03,271342.52
39,14,285,1380.16,357.93,494000.67
40,14,5,793.0,446.86,354359.98
41,14,139,428.01,311.61,133372.2
42,15,59,3249.2,389.53,1265660.88
43,15,292,1146.1,114.07,130735.63
44,15,3,1236.49,401.34,496252.9
45,16,237,3120.95,365.01,1139177.96
46,16,286,1317.0,280.17,368983.89
47,16,50,3279.06,268.58,880689.93
48,16,60,433.0,366.37,158638.21
49,17,250,2833.0,422.44,1196772.52
50,17,164,3623.0,50.91,184446.93
51,17,88,2268.7,340.55,772605.78
52,18,116,3599.7,36.91,132864.93
53,19,124,3676.38,403.86,1484742.83
54,19,99,2046.0,158.67,324638.82
55,20,86,3408.0,62.9,214363.2
56,21,39,4998.38,327.4,1636469.61
57,21,216,3956.33,258.51,1022750.87
58,22,150,788.8,85.48,67426.62
59,22,267,1609.0,368.02,592144.18
60,22,70,1522.0,429.46,653638.12
61,23,36,1350.17,410.18,553812.73
62,23,181,3140.56,243.09,763438.73
63,23,6,4550.0,35.99,163754.5
64,24,137,1904.06,165.83,315750.27
65,25,210,490.82,368.23,180734.65
66,25,78,1767.0,235.58,416269.86
67,26,236,4342.97,147.09,638807.46
68,26,42,2395.02,419.93,1005740.75
69,26,201,3569.0,403.85,1441340.65
70,27,154,2700.02,279.36,754277.59
71,27,299,892.23,370.1,330214.32
72,28,114,4542.93,286.13,1299868.56
73,28,299,2570.58,370.1,951371.66
74,29,3,2140.05,401.34,858887.67
75,29,292,1926.34,114.07,219737.6
76,30,90,2871.76,317.72,912415.59
77,30,42,3399.36,419.93,1427493.24
78,30,236,4820.98,147.09,709117.95
79,30,110,2283.0,208.23,475389.09
80,30,169,3895.21,171.65,668612.8
81,30,128,847.65,88.95,75398.47
82,30,201,4481.0,403.85,1809651.85
83,31,80,2277.0,235.51,536256.27
84,31,143,3071.05,39.55,121460.03
85,31,274,3138.0,106.8,335138.4
86,32,18,1935.78,427.83,828184.76
87,32,13,1406.0,283.52,398629.12
88,32,214,2453.25,418.43,1026513.4
89,33,3,4818.08,401.34,1933688.23
90,33,59,2454.72,389.53,956187.08
91,33,292,2666.68,114.07,304188.19
92,34,265,4046.69,395.11,1598887.69
93,34,212,4851.1,79.39,385128.83
94,34,84,560.0,394.86,221121.6
95,34,290,3081.0,70.8,218134.8
96,35,189,3286.38,258.14,848346.13
97,35,109,3656.38,118.44,433061.65
98,36,29,2456.0,443.84,1090071.04
99,36,291,2383.85,142.34,339317.21
100,36,179,3141.0,225.8,709237.8
101,37,277,1233.0,245.97,303281.01
102,37,224,316.0,54.33,17168.28
103,37,210,4392.89,368.23,1617593.88
104,37,260,1834.0,76.43,140172.62
105,37,78,2248.0,235.58,529583.84
106,38,222,1055.0,229.9,242544.5
107,38,298,2526.22,155.91,393862.96
108,39,160,2926.34,321.87,941901.06
109,40,79,4879.43,348.23,1699163.91
110,40,17,4522.11,128.59,581498.12
111,40,33,1791.81,366.77,657182.15
112,40,263,4824.09,236.81,1142392.75
113,41,87,2377.76,15.87,37735.05
114,41,204,1589.62,186.45,296384.65
115,42,109,4621.16,118.44,547330.19
116,43,117,2440.0,60.61,147888.4
117,43,205,3261.34,442.12,1441903.64
118,44,180,4830.0,41.85,202135.5
119,45,213,319.0,301.88,96299.72
120,45,10,1227.71,284.34,349087.06
121,46,256,1481.16,65.48,96986.36
122,46,194,4677.0,48.5,226834.5
123,46,121,606.94,289.47,175690.92
124,47,83,2227.54,253.74,565216.0
125,48,265,2799.73,395.11,1106201.32
126,49,17,991.3,128.59,127471.27
127,49,79,771.4,348.23,268624.62
128,49,263,1700.32,236.81,402652.78
129,49,33,4050.67,366.77,1485664.24
130,50,88,3572.83,340.55,1216727.26
131,50,250,4721.0,422.44,1994339.24
132,51,187,2372.1,165.3,392108.13
133,51,246,3701.62,374.29,1385479.35
134,51,83,4126.26,253.74,1046997.21
135,52,121,4769.88,289.47,1380737.16
136,52,256,2933.57,65.48,192090.16
137,52,194,1152.07,48.5,55875.39
138,53,89,4122.0,280.28,1155314.16
139,53,97,3140.0,198.55,623447.0
140,53,275,4839.4,405.11,1960489.33
141,53,101,4904.0,353.29,1732534.16
142,53,111,1966.56,441.07,867390.62
143,53,95,4946.17,266.69,1319094.08
144,54,277,3317.0,245.97,815882.49
145,54,129,4830.0,21.27,102734.1
146,54,180,3060.0,41.85,128061.0
147,55,216,1395.43,258.51,360732.61
148,55,39,1917.57,327.4,627812.42
149,56,247,3451.32,434.37,1499149.87
150,56,197,4418.27,74.82,330574.96
151,56,92,4268.33,63.96,273002.39
152,57,283,2026.75,152.7,309484.72
153,57,226,1063.77,132.02,140438.92
154,57,31,1482.0,242.64,359592.48
155,58,19,4295.54,400.95,1722296.76
156,59,43,2493.0,390.13,972594.09
157,59,119,2927.2,70.9,207538.48
158,59,151,4463.0,96.58,431036.54
159,60,288,1800.26,402.57,724730.67
160,60,87,2326.47,15.87,36921.08
161,61,181,1554.39,243.09,377856.67
162,61,6,1378.0,35.99,49594.22
163,61,36,586.62,410.18,240619.79
164,62,86,1989.0,62.9,125108.1
165,63,235,697.29,445.51,310649.67
166,63,255,4312.0,379.3,1635541.6
167,64,46,909.05,171.28,155702.08
168,64,238,1884.0,116.82,220088.88
169,64,240,3924.0,342.82,1345225.68
170,65,269,3137.05,171.49,537972.7
171,66,53,2393.78,379.43,908271.95
172,67,217,929.41,128.15,119103.89
173,68,24,2667.0,210.27,560790.09
174,68,217,2925.95,128.15,374960.49
175,69,60,2805.0,366.37,1027667.85
176,69,237,4863.29,365.01,1775149.48
177,70,156,2089.39,209.75,438249.55
178,70,202,3437.38,38.86,133576.59
179,71,216,2067.78,258.51,534541.81
180,71,39,1729.1,327.4,566107.34
181,72,233,2609.0,63.08,164575.72
182,73,228,4604.0,72.0,331488.0
183,74,200,2584.55,80.5,208056.28
184,74,224,3438.0,54.33,186786.54
185,74,265,1686.05,395.11,666175.22
186,75,137,2164.58,165.83,358952.3
187,76,137,2653.5,165.83,440029.91
188,77,273,600.84,227.72,136823.28
189,77,269,2173.91,171.49,372803.83
190,77,186,705.01,129.85,91545.55
191,78,117,1677.0,60.61,101642.97
192,78,205,1533.42,442.12,677955.65
193,79,224,4393.0,54.33,238671.69
194,79,277,4480.0,245.97,1101945.6
195,80,171,3525.32,146.97,518116.28
196,80,75,2736.65,163.1,446347.61
